iter	Passed	Remaining
0	0	82
1	1	73
2	2	68
3	2	63
4	3	62
5	3	61
6	4	60
7	5	59
8	5	59
9	6	61
10	7	62
11	8	63
12	9	64
13	10	64
14	11	64
15	12	64
16	13	64
17	14	63
18	14	62
19	15	61
20	16	60
21	16	59
22	17	58
23	18	57
24	18	56
25	19	55
26	20	54
27	20	53
28	21	52
29	22	51
30	22	51
31	23	50
32	24	49
33	24	48
34	25	47
35	26	46
36	27	46
37	27	45
38	28	44
39	29	43
40	29	42
41	30	41
42	30	40
43	31	39
44	32	39
45	32	38
46	33	37
47	34	37
48	34	36
49	35	35
50	36	34
51	36	34
52	37	33
53	38	32
54	39	31
55	39	31
56	40	30
57	41	29
58	41	29
59	42	28
60	43	27
61	43	26
62	44	26
63	45	25
64	45	24
65	46	24
66	47	23
67	47	22
68	48	21
69	49	21
70	49	20
71	50	19
72	51	18
73	52	18
74	52	17
75	53	16
76	54	16
77	54	15
78	55	14
79	56	14
80	56	13
81	57	12
82	58	11
83	58	11
84	59	10
85	60	9
86	60	9
87	61	8
88	62	7
89	62	6
90	63	6
91	64	5
92	64	4
93	65	4
94	66	3
95	66	2
96	67	2
97	68	1
98	69	0
99	69	0
