iter	Passed	Remaining
0	151	151800
1	153	76538
2	154	51232
3	155	38625
4	156	31046
5	156	25969
6	157	22351
7	158	19630
8	159	17519
9	159	15825
10	160	14437
11	161	13274
12	161	12290
13	162	11450
14	163	10722
15	164	10092
16	164	9529
17	165	9028
18	166	8579
19	166	8176
20	167	7824
21	168	7504
22	169	7202
23	170	6922
24	170	6666
25	171	6428
26	172	6209
27	173	6007
28	173	5818
29	174	5642
30	175	5475
31	175	5321
32	176	5174
33	177	5038
34	178	4908
35	178	4784
36	179	4668
37	180	4558
38	180	4453
39	181	4352
40	182	4262
41	183	4178
42	184	4095
43	184	4014
44	185	3936
45	186	3861
46	186	3790
47	187	3721
48	188	3656
49	189	3594
50	189	3533
51	190	3474
52	191	3418
53	192	3365
54	192	3313
55	193	3262
56	194	3212
57	194	3164
58	195	3120
59	196	3080
60	197	3039
61	198	2998
62	198	2958
63	199	2920
64	200	2882
65	201	2844
66	201	2809
67	202	2775
68	203	2743
69	203	2710
70	204	2677
71	205	2649
72	206	2619
73	206	2590
74	207	2561
75	208	2533
76	209	2505
77	209	2478
78	210	2452
79	211	2426
80	212	2405
81	212	2383
82	213	2357
83	214	2334
84	214	2312
85	215	2290
86	216	2269
87	216	2248
88	217	2228
89	218	2208
90	219	2189
91	219	2170
92	220	2151
93	221	2133
94	222	2115
95	222	2097
96	223	2079
97	224	2062
98	224	2045
99	225	2028
100	226	2012
101	227	1999
102	228	1985
103	228	1971
104	229	1956
105	230	1941
106	230	1927
107	231	1913
108	232	1899
109	233	1886
110	233	1873
111	234	1860
112	235	1847
113	236	1834
114	236	1822
115	237	1810
116	238	1796
117	238	1784
118	239	1772
119	240	1760
120	240	1748
121	241	1736
122	242	1726
123	243	1717
124	243	1706
125	244	1696
126	245	1685
127	245	1674
128	246	1664
129	247	1654
130	247	1645
131	248	1635
132	249	1625
133	250	1616
134	250	1606
135	251	1597
136	252	1589
137	252	1580
138	253	1571
139	254	1562
140	254	1553
141	255	1544
142	256	1538
143	257	1531
144	258	1523
145	259	1515
146	259	1507
147	260	1499
148	261	1491
149	261	1484
150	262	1476
151	263	1469
152	264	1462
153	264	1455
154	265	1447
155	266	1440
156	267	1434
157	267	1427
158	268	1420
159	269	1413
160	269	1405
161	270	1398
162	271	1392
163	272	1387
164	272	1381
165	273	1375
166	274	1368
167	275	1362
168	275	1356
169	276	1350
170	277	1344
171	278	1338
172	278	1332
173	279	1326
174	280	1320
175	280	1314
176	281	1309
177	282	1303
178	282	1297
179	283	1292
180	284	1286
181	284	1280
182	285	1275
183	286	1272
184	287	1267
185	288	1262
186	289	1256
187	289	1251
188	290	1246
189	291	1241
190	291	1236
191	292	1231
192	293	1226
193	294	1222
194	294	1217
195	295	1212
196	296	1207
197	297	1203
198	297	1198
199	298	1193
200	299	1188
201	299	1184
202	300	1179
203	301	1175
204	302	1173
205	303	1169
206	304	1165
207	304	1160
208	305	1156
209	306	1152
210	307	1148
211	307	1144
212	308	1140
213	309	1135
214	309	1131
215	310	1127
216	311	1123
217	312	1119
218	312	1115
219	313	1111
220	314	1108
221	315	1104
222	315	1100
223	316	1097
224	317	1094
225	318	1090
226	319	1086
227	319	1083
228	320	1079
229	321	1075
230	322	1072
231	323	1069
232	323	1066
233	324	1062
234	325	1059
235	326	1055
236	326	1052
237	327	1048
238	328	1044
239	328	1041
240	329	1037
241	330	1034
242	330	1030
243	331	1027
244	332	1025
245	333	1023
246	334	1020
247	335	1016
248	336	1013
249	336	1010
250	337	1007
251	338	1004
252	338	1000
253	339	997
254	340	994
255	341	991
256	341	987
257	342	984
258	343	981
259	343	978
260	344	975
261	345	972
262	345	969
263	346	966
264	347	964
265	348	961
266	349	958
267	349	955
268	350	952
269	351	950
270	352	947
271	352	944
272	353	941
273	354	938
274	355	936
275	355	933
276	356	930
277	357	927
278	357	924
279	358	921
280	359	919
281	359	916
282	360	913
283	361	910
284	362	908
285	363	906
286	363	904
287	364	901
288	365	898
289	366	896
290	366	893
291	367	890
292	368	888
293	368	885
294	369	883
295	370	880
296	371	878
297	371	876
298	372	873
299	373	871
300	374	869
301	375	866
302	375	864
303	376	862
304	377	860
305	378	858
306	379	856
307	380	854
308	381	852
309	381	849
310	382	847
311	383	845
312	384	843
313	384	840
314	385	838
315	386	836
316	387	833
317	387	831
318	388	829
319	389	826
320	389	824
321	390	822
322	391	819
323	391	817
324	393	816
325	393	814
326	394	812
327	395	809
328	395	807
329	396	805
330	397	803
331	398	800
332	398	798
333	399	796
334	400	794
335	400	792
336	401	790
337	402	788
338	403	785
339	403	783
340	404	781
341	405	779
342	405	777
343	406	775
344	407	774
345	408	772
346	409	770
347	410	768
348	410	766
349	411	764
350	412	762
351	412	760
352	413	758
353	414	756
354	415	754
355	415	752
356	416	750
357	417	748
358	418	746
359	418	744
360	419	742
361	420	740
362	420	738
363	421	737
364	422	735
365	423	733
366	424	732
367	425	730
368	425	728
369	426	726
370	427	724
371	428	723
372	429	721
373	429	719
374	430	717
375	431	715
376	431	713
377	432	711
378	433	710
379	434	708
380	434	706
381	435	704
382	436	702
383	437	701
384	438	699
385	438	698
386	439	696
387	440	694
388	441	692
389	441	690
390	442	689
391	443	687
392	443	685
393	444	684
394	445	682
395	446	680
396	446	678
397	447	676
398	448	675
399	448	673
400	449	671
401	450	670
402	451	668
403	451	666
404	452	665
405	453	663
406	454	662
407	455	660
408	455	658
409	456	657
410	457	655
411	457	653
412	458	652
413	459	650
414	460	648
415	460	647
416	461	645
417	462	643
418	463	642
419	463	640
420	464	638
421	465	637
422	465	635
423	466	633
424	467	632
425	468	631
426	469	629
427	469	627
428	470	626
429	471	624
430	471	622
431	472	621
432	473	619
433	473	618
434	474	616
435	475	614
436	476	613
437	476	611
438	477	610
439	478	609
440	479	607
441	480	606
442	480	604
443	481	603
444	482	601
445	483	600
446	484	598
447	484	597
448	485	595
449	486	594
450	487	592
451	487	591
452	488	589
453	489	588
454	490	586
455	490	585
456	491	583
457	492	582
458	492	580
459	493	579
460	494	578
461	495	576
462	495	575
463	496	573
464	497	572
465	498	571
466	499	570
467	500	569
468	501	567
469	502	566
470	502	564
471	503	563
472	504	562
473	505	560
474	506	559
475	506	557
476	507	556
477	508	554
478	508	553
479	509	552
480	510	550
481	511	549
482	511	547
483	512	546
484	514	545
485	514	544
486	515	543
487	516	541
488	517	540
489	518	539
490	518	537
491	519	536
492	520	535
493	521	534
494	522	532
495	523	531
496	523	530
497	524	528
498	525	527
499	525	525
500	526	524
501	527	523
502	528	522
503	529	520
504	530	519
505	530	518
506	531	516
507	532	515
508	533	514
509	533	512
510	534	511
511	535	510
512	536	508
513	536	507
514	537	506
515	538	504
516	538	503
517	539	502
518	540	500
519	541	499
520	542	498
521	543	497
522	543	496
523	544	494
524	545	493
525	546	492
526	546	490
527	547	489
528	548	488
529	548	486
530	549	485
531	550	484
532	551	482
533	551	481
534	552	480
535	553	478
536	553	477
537	554	476
538	555	474
539	555	473
540	556	472
541	557	470
542	558	469
543	559	468
544	559	467
545	560	466
546	561	464
547	562	463
548	562	462
549	563	460
550	564	459
551	564	458
552	565	457
553	566	455
554	566	454
555	567	453
556	568	451
557	568	450
558	569	449
559	570	447
560	570	446
561	571	445
562	572	444
563	573	443
564	574	442
565	574	440
566	575	439
567	576	438
568	576	436
569	577	435
570	578	434
571	578	433
572	579	431
573	580	430
574	580	429
575	581	428
576	582	426
577	582	425
578	583	424
579	584	423
580	584	421
581	585	420
582	586	419
583	587	418
584	587	417
585	588	415
586	589	414
587	590	413
588	590	412
589	591	411
590	592	409
591	592	408
592	593	407
593	594	406
594	594	404
595	595	403
596	596	402
597	596	401
598	597	399
599	598	398
600	598	397
601	599	396
602	600	395
603	600	393
604	601	392
605	602	391
606	603	390
607	603	389
608	604	388
609	605	387
610	606	385
611	606	384
612	607	383
613	608	382
614	609	381
615	609	380
616	610	378
617	611	377
618	611	376
619	612	375
620	613	374
621	613	373
